Date,Close,compound,negative,neutral,positive,Open,High,Low,Volume
2015-01-02,78.45,0.1943,0.116,0.749,0.135,78.58,78.93,77.7,18141830
2015-01-05,77.19,0.9748,0.061,0.831,0.107,77.98,79.2455,76.86,26392340
2015-01-06,76.15,0.9932,0.034,0.862,0.105,77.23,77.59,75.365,27365180
2015-01-07,76.15,0.9866,0.059,0.812,0.129,76.76,77.36,75.82,22015250
2015-01-08,78.175,0.4939,0.059,0.827,0.114,76.74,78.23,76.08,23931830
2015-01-09,77.74,0.9107,0.084,0.806,0.11,78.2,78.62,77.2,21146060
2015-01-12,76.72,0.9609,0.101,0.774,0.125,77.84,78.0,76.21,19150390
2015-01-13,76.45,0.9984,0.027,0.824,0.149,77.23,78.08,75.85,25149270
2015-01-14,76.28,0.9728,0.073,0.829,0.098,76.42,77.2,76.0291,25831690
2015-01-15,74.05,0.8521,0.078,0.828,0.094,76.4,76.57,73.54,34058150
2015-01-16,75.18,0.9895,0.047,0.842,0.111,74.04,75.32,73.84,21744680
2015-01-20,76.24,0.8979,0.067,0.851,0.082,75.72,76.31,74.82,22765930
2015-01-21,76.74,0.9905,0.031,0.871,0.098,76.16,77.3,75.85,25079200
2015-01-22,77.65,0.9296,0.062,0.849,0.089,77.17,77.75,76.68,19491720
2015-01-23,77.83,0.9957,0.05,0.837,0.114,77.65,78.19,77.04,16711610
2015-01-26,77.495,0.9988,0.033,0.837,0.13,77.98,78.47,77.29,19229120
2015-01-27,75.78,0.9911,0.049,0.861,0.09,76.71,76.88,75.63,19982990
2015-01-28,76.24,0.9984,0.031,0.834,0.135,76.9,77.638,76.0,51281680
2015-01-29,78.0,0.9945,0.048,0.845,0.108,76.85,78.02,74.21,60670160
2015-01-30,75.91,0.9962,0.05,0.8,0.15,78.0,78.16,75.75,42540890
2015-02-02,74.99,0.979,0.039,0.88,0.081,76.11,76.14,73.75,41901530
2015-02-03,75.4,0.9972,0.02,0.883,0.097,75.19,75.58,73.86,26921640
2015-02-04,75.63,0.9954,0.04,0.855,0.105,75.09,76.35,75.01,20246640
2015-02-05,75.615,-0.34,0.127,0.805,0.068,75.71,75.98,75.21,15002820
2015-02-06,74.47,0.9858,0.029,0.885,0.086,75.68,75.7,74.25,21131450
2015-02-09,74.44,-0.2406,0.054,0.896,0.05,74.05,74.83,73.45,16182700
2015-02-10,75.19,0.4588,0.086,0.839,0.075,74.85,75.34,74.5,15783750
2015-02-11,76.51,0.9949,0.013,0.877,0.111,75.09,76.75,75.03,20817690
2015-02-12,76.23,-0.7242,0.096,0.823,0.081,76.86,76.87,75.89,17212100
2015-02-13,75.74,0.9942,0.049,0.846,0.106,76.46,76.48,75.5,18487260
2015-02-17,75.6,0.9978,0.029,0.87,0.1,75.3,76.91,75.08,25243920
2015-02-18,76.71,0.9959,0.043,0.861,0.096,75.94,76.9,75.45,22410540
2015-02-19,79.42,0.9836,0.064,0.847,0.089,76.986,79.84,76.95,45778750
2015-02-20,79.895,0.9956,0.052,0.85,0.099,79.55,80.34,79.2,36904680
2015-02-23,78.84,0.9928,0.049,0.853,0.098,79.96,80.19,78.38,24105020
2015-02-24,78.45,0.9915,0.036,0.889,0.075,78.5,79.48,78.1,18871220
2015-02-25,79.56,0.9951,0.123,0.719,0.158,78.5,80.2,78.5,25546020
2015-02-26,80.41,0.9639,0.061,0.859,0.08,79.88,81.37,79.72,30980750
2015-02-27,78.97,-0.8812,0.106,0.792,0.102,80.68,81.23,78.62,30705140
2015-03-02,79.75,0.9137,0.061,0.851,0.087,79.0,79.855,78.52,21645890
2015-03-03,79.6,0.8634,0.059,0.877,0.064,79.61,79.7,78.52,18602170
2015-03-04,80.895,0.9835,0.051,0.84,0.109,79.3,81.15,78.85,28057010
2015-03-05,81.21,-0.0772,0.035,0.937,0.028,81.23,81.99,81.05,27792840
2015-03-06,80.005,0.9141,0.059,0.884,0.057,80.9,81.33,79.83,24457940
2015-03-09,79.44,0.9953,0.024,0.857,0.119,79.68,79.91,78.63,18908230
2015-03-10,77.55,0.7096,0.095,0.745,0.161,78.5,79.26,77.55,22965310
2015-03-11,77.57,0.963,0.064,0.842,0.094,77.8,78.43,77.26,20141490
2015-03-12,78.93,0.996,0.054,0.784,0.162,78.1,79.05,77.91,16069270
2015-03-13,78.05,0.9634,0.066,0.847,0.086,78.6,79.38,77.68,18481750
2015-03-16,78.07,0.9891,0.071,0.814,0.115,77.96,78.12,77.36,19289450
2015-03-17,79.365,0.9929,0.046,0.865,0.088,78.36,79.78,78.34,22105760
2015-03-18,80.91,0.9921,0.049,0.848,0.103,79.25,81.24,79.17,36732660
2015-03-19,82.75,0.9584,0.062,0.854,0.084,81.12,83.0,81.0,42047570
2015-03-20,83.8,0.9771,0.046,0.84,0.114,83.39,84.6,83.07,44405260
2015-03-23,84.43,0.9964,0.045,0.837,0.117,83.92,84.96,83.3,27291310
2015-03-24,85.31,0.9835,0.05,0.853,0.097,84.71,86.0699,84.52,32507390
